,응답자ID,조사시작일자,성별구분코드,연령대구분명,답변자거주지역명,가구소득정도명,중국여행관심값,일본여행관심값,홍콩마카오여행관심값,동남아시아여행관심값,중동서남아시아여행관심값,미국캐나다여행관심값,남미중남미여행관심값,서유럽북유럽여행관심값,동유럽여행관심값,남유럽여행관심값,남태평양여행관심값,아프리카여행관심값
0,53323765,20230828,F,60,서울특별시,2.0,3,3,1,1,3,4,3,4,1,2,5,1
1,53324726,20230828,F,60,서울특별시,3.0,2,3,3,3,3,4,3,4,3,3,4,2
2,53365304,20230828,F,60,서울특별시,2.0,1,2,3,3,3,3,3,3,3,3,3,3
3,53322673,20230828,F,60,서울특별시,2.0,2,2,3,4,2,3,4,3,4,4,4,3
4,53323927,20230828,F,60,서울특별시,2.0,3,3,3,4,4,4,4,4,3,4,3,3
5,53346245,20230828,F,60,서울특별시,2.0,3,3,3,3,5,4,3,3,4,5,4,1
6,53327286,20230828,F,50,경기도,2.0,2,2,3,1,3,3,3,2,3,2,3,3
7,53331218,20230828,F,50,경기도,4.0,1,4,3,4,2,3,3,4,3,3,4,3
8,53332216,20230828,F,50,경기도,3.0,3,2,3,4,3,3,3,4,4,4,4,3
9,53325901,20230828,F,50,경기도,3.0,2,1,3,3,2,2,2,3,2,2,2,1
10,53336938,20230828,F,50,경기도,2.0,1,5,5,4,4,4,3,3,3,3,3,3
11,53375321,20230828,F,50,경기도,4.0,2,3,2,4,4,3,2,3,4,3,4,3
12,53375359,20230828,F,50,경기도,3.0,2,1,3,3,3,4,3,5,4,4,4,3
13,53327300,20230828,F,50,경기도,2.0,2,3,3,3,1,4,4,3,2,4,4,1
14,53350084,20230828,F,50,경기도,3.0,2,4,2,3,4,4,3,3,3,3,4,1
15,53370715,20230828,F,50,경기도,4.0,2,2,3,3,3,4,4,4,3,4,4,4
16,53343854,20230828,F,50,경기도,1.0,3,1,3,3,2,2,3,3,1,3,3,3
17,53369842,20230828,F,50,대구광역시,1.0,3,3,4,3,4,3,4,4,4,4,4,3
18,53350473,20230828,F,50,전라남도,1.0,4,5,3,2,4,5,4,2,3,3,3,3
19,53357898,20230828,F,50,전라남도,4.0,2,3,3,3,3,3,3,3,3,3,3,3
20,53328379,20230828,F,50,전라남도,3.0,1,1,3,1,4,1,1,5,5,5,4,1
21,53353778,20230828,F,40,경기도,3.0,3,5,3,4,3,3,3,5,4,4,4,3
22,53365448,20230828,F,40,경기도,4.0,3,4,3,3,3,5,3,4,4,4,5,3
23,53330062,20230828,F,40,경기도,3.0,3,3,3,4,3,3,3,3,3,3,3,3
24,53354823,20230828,F,40,경기도,4.0,1,4,4,5,1,4,3,5,3,4,4,3
25,53354681,20230828,F,40,경기도,2.0,1,1,2,5,2,2,2,2,3,3,5,1
26,53352695,20230828,F,40,경기도,2.0,1,2,3,5,1,2,1,2,3,2,5,1
27,53323813,20230828,F,40,서울특별시,2.0,2,5,5,5,3,5,5,5,5,5,5,2
28,53374461,20230828,F,40,서울특별시,1.0,1,1,1,1,1,1,1,1,1,1,1,1
29,53358079,20230828,F,40,서울특별시,4.0,2,1,2,3,1,4,2,4,5,4,5,1
30,53322770,20230828,F,40,서울특별시,2.0,3,1,3,4,3,3,3,3,3,3,3,3
31,53340630,20230828,F,40,충청북도,2.0,2,1,2,2,3,4,4,3,3,3,3,3
32,53357518,20230828,F,30,경기도,1.0,1,3,3,1,2,4,2,4,4,4,3,1
33,53345315,20230828,F,30,경기도,2.0,1,5,5,5,1,1,1,1,1,1,3,1
34,53348157,20230828,F,30,경기도,3.0,1,1,3,2,2,2,2,2,2,2,3,2
35,53340774,20230828,F,30,충청북도,2.0,2,1,1,3,5,2,5,2,5,2,3,5
36,53345510,20230828,F,30,전라북도,4.0,2,1,4,3,1,3,1,4,4,4,4,1
37,53336448,20230828,F,20,서울특별시,3.0,3,5,5,4,2,3,2,4,3,3,3,2
38,53343397,20230828,F,20,서울특별시,1.0,4,4,3,5,2,3,2,2,3,2,5,3
39,53325386,20230828,F,20,서울특별시,4.0,4,4,4,5,1,3,3,4,4,4,4,2
40,53324543,20230828,F,20,서울특별시,2.0,2,2,1,5,1,1,4,2,3,3,1,3
41,53374720,20230828,F,20,서울특별시,3.0,1,5,2,3,2,4,2,5,4,3,4,1
42,53359321,20230828,F,20,서울특별시,3.0,3,2,3,4,1,2,3,2,3,3,4,3
43,53368610,20230828,F,20,서울특별시,1.0,1,4,3,4,1,3,1,5,4,4,3,1
44,459926,20230828,F,20,부산광역시,2.0,2,4,2,3,3,3,2,3,2,3,4,3
45,53335911,20230828,F,20,부산광역시,2.0,2,3,4,5,1,3,1,3,3,4,4,1
46,53337423,20230828,F,20,부산광역시,2.0,1,1,4,5,2,3,4,2,4,5,4,3
47,53353134,20230828,M,60,부산광역시,4.0,3,4,4,3,4,4,4,4,4,4,4,4
48,53350918,20230828,M,60,부산광역시,3.0,2,1,2,3,2,2,2,3,2,3,3,1
49,53344620,20230828,M,50,대전광역시,4.0,3,1,3,4,4,3,3,4,3,3,3,3
50,53355730,20230828,M,50,울산광역시,2.0,1,3,3,3,3,3,3,4,4,4,4,3
51,53363205,20230828,M,40,경기도,2.0,3,1,3,4,3,3,1,4,3,3,3,1
52,53353515,20230828,M,40,경기도,4.0,2,3,3,2,3,3,3,3,4,3,4,3
53,53361049,20230828,M,40,경기도,2.0,1,3,3,4,2,4,2,5,4,4,4,1
54,53372414,20230828,M,40,경기도,4.0,1,4,3,3,1,5,1,4,4,4,5,1
55,53375628,20230828,M,40,경기도,2.0,1,3,3,3,1,3,3,3,3,3,3,1
56,53344431,20230828,M,40,경기도,2.0,1,4,2,4,3,1,1,3,3,2,3,3
57,53368306,20230828,M,40,경기도,3.0,3,2,2,3,3,2,3,4,4,4,3,3
58,53352836,20230828,M,40,경기도,2.0,2,1,3,3,2,3,3,3,3,3,3,1
59,53373410,20230828,M,40,서울특별시,4.0,1,3,1,3,2,3,5,5,3,5,3,1
60,53373065,20230828,M,30,광주광역시,3.0,1,4,2,4,1,4,3,3,4,3,4,3
61,53366698,20230828,M,30,충청북도,2.0,3,3,3,3,3,3,2,4,3,3,3,3
62,53350886,20230828,M,30,충청북도,1.0,1,1,1,1,1,1,1,1,1,1,1,1
63,53376601,20230828,M,30,경상남도,2.0,2,4,5,5,1,5,5,5,5,5,5,4
64,53344329,20230828,M,30,경상남도,3.0,1,5,4,5,3,4,1,1,1,1,4,1
65,53369545,20230828,M,30,경상남도,2.0,2,2,3,3,2,3,2,3,3,3,3,2
66,53361492,20230828,F,50,전라북도,4.0,3,3,3,4,2,3,3,4,4,4,4,4
67,107336,20230828,F,60,전라남도,3.0,4,3,4,4,5,5,4,4,5,4,5,5
68,366312,20230828,F,60,경상북도,1.0,2,5,4,3,3,3,3,4,4,4,4,3
69,447283,20230828,F,60,경상남도,4.0,2,1,5,3,2,4,5,3,3,5,5,3
70,461496,20230828,M,20,경기도,1.0,3,3,3,3,3,3,3,3,3,3,3,3
