,성별구분코드,연령대구분명,답변자거주지역명,가구소득정도명,중국여행관심값,일본여행관심값,홍콩마카오여행관심값,동남아시아여행관심값,중동서남아시아여행관심값,미국캐나다여행관심값,남미중남미여행관심값,서유럽북유럽여행관심값,동유럽여행관심값,남유럽여행관심값,남태평양여행관심값,아프리카여행관심값,군집
0,F,60,서울특별시,2,3,3,1,1,3,4,3,4,1,2,5,1,3
1,F,60,서울특별시,3,2,3,3,3,3,4,3,4,3,3,4,2,1
2,F,60,서울특별시,2,1,2,3,3,3,3,3,3,3,3,3,3,3
3,F,60,서울특별시,2,2,2,3,4,2,3,4,3,4,4,4,3,3
4,F,60,서울특별시,2,3,3,3,4,4,4,4,4,3,4,3,3,3
5,F,60,서울특별시,2,3,3,3,3,5,4,3,3,4,5,4,1,3
6,F,50,경기도,2,2,2,3,1,3,3,3,2,3,2,3,3,0
7,F,50,경기도,4,1,4,3,4,2,3,3,4,3,3,4,3,0
8,F,50,경기도,3,3,2,3,4,3,3,3,4,4,4,4,3,0
9,F,50,경기도,3,2,1,3,3,2,2,2,3,2,2,2,1,0
10,F,50,경기도,2,1,5,5,4,4,4,3,3,3,3,3,3,0
11,F,50,경기도,4,2,3,2,4,4,3,2,3,4,3,4,3,0
12,F,50,경기도,3,2,1,3,3,3,4,3,5,4,4,4,3,0
13,F,50,경기도,2,2,3,3,3,1,4,4,3,2,4,4,1,0
14,F,50,경기도,3,2,4,2,3,4,4,3,3,3,3,4,1,0
15,F,50,경기도,4,2,2,3,3,3,4,4,4,3,4,4,4,0
16,F,50,경기도,1,3,1,3,3,2,2,3,3,1,3,3,3,0
17,F,50,대구광역시,1,3,3,4,3,4,3,4,4,4,4,4,3,0
18,F,50,전라남도,1,4,5,3,2,4,5,4,2,3,3,3,3,0
19,F,50,전라남도,4,2,3,3,3,3,3,3,3,3,3,3,3,0
20,F,50,전라남도,3,1,1,3,1,4,1,1,5,5,5,4,1,0
21,F,40,경기도,3,3,5,3,4,3,3,3,5,4,4,4,3,4
22,F,40,경기도,4,3,4,3,3,3,5,3,4,4,4,5,3,0
23,F,40,경기도,3,3,3,3,4,3,3,3,3,3,3,3,3,4
24,F,40,경기도,4,1,4,4,5,1,4,3,5,3,4,4,3,0
25,F,40,경기도,2,1,1,2,5,2,2,2,2,3,3,5,1,2
26,F,40,경기도,2,1,2,3,5,1,2,1,2,3,2,5,1,2
27,F,40,서울특별시,2,2,5,5,5,3,5,5,5,5,5,5,2,3
28,F,40,서울특별시,1,1,1,1,1,1,1,1,1,1,1,1,1,3
29,F,40,서울특별시,4,2,1,2,3,1,4,2,4,5,4,5,1,0
30,F,40,서울특별시,2,3,1,3,4,3,3,3,3,3,3,3,3,3
31,F,40,충청북도,2,2,1,2,2,3,4,4,3,3,3,3,3,2
32,F,30,경기도,1,1,3,3,1,2,4,2,4,4,4,3,1,0
33,F,30,경기도,2,1,5,5,5,1,1,1,1,1,1,3,1,3
34,F,30,경기도,3,1,1,3,2,2,2,2,2,2,2,3,2,0
35,F,30,충청북도,2,2,1,1,3,5,2,5,2,5,2,3,5,3
36,F,30,전라북도,4,2,1,4,3,1,3,1,4,4,4,4,1,0
37,F,20,서울특별시,3,3,5,5,4,2,3,2,4,3,3,3,2,1
38,F,20,서울특별시,1,4,4,3,5,2,3,2,2,3,2,5,3,3
39,F,20,서울특별시,4,4,4,4,5,1,3,3,4,4,4,4,2,0
40,F,20,서울특별시,2,2,2,1,5,1,1,4,2,3,3,1,3,3
41,F,20,서울특별시,3,1,5,2,3,2,4,2,5,4,3,4,1,1
42,F,20,서울특별시,3,3,2,3,4,1,2,3,2,3,3,4,3,1
43,F,20,서울특별시,1,1,4,3,4,1,3,1,5,4,4,3,1,3
44,F,20,부산광역시,2,2,4,2,3,3,3,2,3,2,3,4,3,3
45,F,20,부산광역시,2,2,3,4,5,1,3,1,3,3,4,4,1,3
46,F,20,부산광역시,2,1,1,4,5,2,3,4,2,4,5,4,3,3
47,M,60,부산광역시,4,3,4,4,3,4,4,4,4,4,4,4,4,1
48,M,60,부산광역시,3,2,1,2,3,2,2,2,3,2,3,3,1,1
49,M,50,대전광역시,4,3,1,3,4,4,3,3,4,3,3,3,3,0
50,M,50,울산광역시,2,1,3,3,3,3,3,3,4,4,4,4,3,2
51,M,40,경기도,2,3,1,3,4,3,3,1,4,3,3,3,1,2
52,M,40,경기도,4,2,3,3,2,3,3,3,3,4,3,4,3,2
53,M,40,경기도,2,1,3,3,4,2,4,2,5,4,4,4,1,2
54,M,40,경기도,4,1,4,3,3,1,5,1,4,4,4,5,1,2
55,M,40,경기도,2,1,3,3,3,1,3,3,3,3,3,3,1,2
56,M,40,경기도,2,1,4,2,4,3,1,1,3,3,2,3,3,2
57,M,40,경기도,3,3,2,2,3,3,2,3,4,4,4,3,3,2
58,M,40,경기도,2,2,1,3,3,2,3,3,3,3,3,3,1,2
59,M,40,서울특별시,4,1,3,1,3,2,3,5,5,3,5,3,1,1
60,M,30,광주광역시,3,1,4,2,4,1,4,3,3,4,3,4,3,1
61,M,30,충청북도,2,3,3,3,3,3,3,2,4,3,3,3,3,2
62,M,30,충청북도,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,M,30,경상남도,2,2,4,5,5,1,5,5,5,5,5,5,4,2
64,M,30,경상남도,3,1,5,4,5,3,4,1,1,1,1,4,1,1
65,M,30,경상남도,2,2,2,3,3,2,3,2,3,3,3,3,2,2
66,F,50,전라북도,4,3,3,3,4,2,3,3,4,4,4,4,4,0
67,F,60,전라남도,3,4,3,4,4,5,5,4,4,5,4,5,5,1
68,F,60,경상북도,1,2,5,4,3,3,3,3,4,4,4,4,3,0
69,F,60,경상남도,4,2,1,5,3,2,4,5,3,3,5,5,3,0
70,M,20,경기도,1,3,3,3,3,3,3,3,3,3,3,3,3,2
71,M,20,전라남도,1,1,1,1,1,1,4,1,4,4,4,4,1,1
72,M,20,서울특별시,3,1,4,1,3,2,3,3,4,3,2,4,1,1
73,M,20,광주광역시,2,3,4,3,3,2,3,3,2,3,4,2,2,2
74,M,30,서울특별시,3,1,4,3,4,2,4,3,3,3,3,4,1,1
75,M,60,서울특별시,2,2,2,3,3,3,4,3,3,3,3,3,2,1
76,M,30,서울특별시,2,3,5,3,4,3,3,3,1,4,5,3,1,3
77,F,30,서울특별시,2,1,1,3,5,1,3,1,3,1,3,3,1,3
78,F,20,경기도,2,1,4,3,2,1,3,4,3,4,4,5,3,0
79,M,20,서울특별시,2,3,5,4,5,4,5,3,5,5,5,4,3,1
80,M,60,서울특별시,3,4,3,1,4,1,1,4,1,1,1,1,1,1
81,M,20,서울특별시,2,4,5,3,3,2,3,3,4,3,3,3,1,1
82,M,60,서울특별시,2,2,2,3,3,2,3,3,3,3,3,3,3,1
83,M,60,울산광역시,3,1,1,3,1,1,3,4,3,3,3,3,1,1
84,M,60,충청북도,3,2,1,2,4,3,3,2,3,3,3,4,2,1
85,M,60,경기도,2,2,3,2,2,2,3,4,3,4,3,4,3,2
86,M,20,충청남도(세종시 포함),4,1,4,4,4,4,3,3,3,3,3,3,3,0
87,M,30,경기도,4,1,1,2,5,1,3,4,4,4,3,4,3,0
88,F,60,부산광역시,2,4,4,2,4,4,4,3,4,4,5,4,3,3
89,F,50,서울특별시,2,3,3,3,3,1,4,2,4,4,4,3,3,3
90,F,40,대구광역시,2,1,1,3,4,3,4,3,5,5,5,5,3,2
91,F,50,대전광역시,4,3,4,3,3,2,4,3,4,4,3,3,3,0
92,F,40,울산광역시,4,1,3,4,3,3,4,3,4,4,4,3,3,0
93,F,30,경상남도,2,1,1,3,4,2,2,2,2,2,2,4,2,3
94,M,20,경기도,2,2,4,3,3,2,3,3,4,3,3,3,3,2
95,M,30,경기도,3,1,3,4,3,1,4,1,4,4,4,3,1,1
96,M,40,부산광역시,3,1,1,3,1,1,3,1,4,4,4,4,1,1
97,F,40,전라북도,1,2,1,3,3,4,5,1,5,5,4,4,3,4
98,F,30,대구광역시,3,2,4,4,4,1,3,2,3,3,3,4,2,3
99,M,40,제주도,2,1,1,3,3,2,3,4,3,3,3,4,3,2
100,M,50,경기도,2,3,3,4,5,2,3,4,3,3,4,4,2,2
101,M,20,충청북도,1,3,4,4,3,3,4,4,4,3,3,4,3,1
102,M,50,서울특별시,3,2,4,3,4,3,3,3,3,4,3,3,3,1
103,F,30,인천광역시,3,1,4,4,4,3,5,4,5,5,5,5,3,4
104,F,20,충청남도(세종시 포함),3,3,4,3,4,3,2,3,4,2,4,4,3,4
105,M,40,광주광역시,1,3,3,3,4,3,3,3,3,3,3,3,3,2
106,M,50,서울특별시,2,1,5,1,5,3,3,1,3,3,4,3,1,1
107,M,20,경기도,1,1,3,5,4,1,1,1,1,1,1,1,1,2
108,M,30,경기도,2,3,3,3,3,3,3,3,3,3,3,3,3,2
109,M,60,경기도,1,2,3,4,3,4,4,3,4,4,4,3,2,1
110,F,50,서울특별시,4,3,3,3,3,4,3,3,4,4,4,3,3,0
111,M,60,인천광역시,4,2,2,3,4,3,3,4,2,2,3,4,3,1
112,F,60,충청남도(세종시 포함),3,3,3,3,3,2,2,2,2,2,2,2,1,1
113,M,20,전라남도,1,2,4,3,3,3,3,3,4,4,4,4,2,1
114,M,30,경기도,2,2,4,3,3,3,3,3,3,2,3,3,3,2
115,F,60,인천광역시,2,1,2,4,2,2,4,4,5,4,5,3,2,3
116,M,50,경기도,4,2,4,3,4,4,3,3,4,3,3,3,4,0
117,F,60,경상남도,2,2,3,4,3,3,5,4,3,4,2,4,3,3
118,F,40,인천광역시,3,3,1,3,4,1,3,2,3,3,3,4,3,4
119,M,20,강원도,2,3,4,3,3,1,4,1,3,4,3,4,1,2
120,F,40,부산광역시,3,1,1,1,5,1,3,1,5,3,1,5,1,4
121,F,30,서울특별시,1,1,1,3,1,1,4,1,3,2,4,3,1,3
122,F,50,인천광역시,4,2,2,3,3,3,4,4,4,4,4,3,3,0
123,F,20,대구광역시,2,3,3,3,3,3,5,3,3,3,3,3,3,3
124,F,40,충청남도(세종시 포함),3,1,4,3,3,2,5,5,5,5,5,5,1,4
125,M,50,서울특별시,4,3,3,2,3,2,2,2,3,3,3,3,2,0
126,M,30,서울특별시,2,3,3,3,3,3,3,3,3,3,3,3,3,3
127,F,30,인천광역시,1,1,3,2,1,3,4,3,3,4,4,3,4,3
